ablation,model,cal_log_loss,cal_brier,cal_top_gap,cal_top_n,cal_ece_tp,valconf_log_loss,valconf_brier,valconf_ece_tp
M4,B,0.7864,0.4626,0.0032,411,0.0090,0.7951,0.4664,0.0113
M3,B,0.7904,0.4661,0.0106,393,0.0059,0.7988,0.4701,0.0109
M2,B,0.7912,0.4661,0.0375,341,0.0117,0.7965,0.4688,0.0080
M5,B,0.7934,0.4677,0.0253,346,0.0086,0.8009,0.4710,0.0104
M1,B,0.8021,0.4744,0.0192,324,0.0042,0.8047,0.4751,0.0098
M5,C,0.8102,0.4751,0.0719,208,0.0168,0.8164,0.4773,0.0224
M4,A,0.8166,0.4815,0.0395,412,0.0185,0.8263,0.4845,0.0148
M5,A,0.8208,0.4857,0.0401,401,0.0122,0.8257,0.4845,0.0218
M0,B,0.8233,0.4845,0.0391,307,0.0121,0.8270,0.4849,0.0106
M3,A,0.8248,0.4875,0.0201,259,0.0070,0.8312,0.4886,0.0206
M2,A,0.8249,0.4867,0.0058,254,0.0027,0.8332,0.4886,0.0216
M1,A,0.8322,0.4913,0.0182,183,0.0057,0.8369,0.4909,0.0168
M0,A,0.8450,0.4975,0.0118,157,0.0060,0.8474,0.4948,0.0125
