segment,class,bin,n,pred,obs
VAL,TP_FIRST,0.0-0.1,232,0.0879,0.0991
VAL,TP_FIRST,0.1-0.2,3158,0.1560,0.1485
VAL,TP_FIRST,0.2-0.3,2485,0.2392,0.2302
VAL,TP_FIRST,0.3-0.4,602,0.3322,0.3206
VAL,TP_FIRST,0.4-0.5,98,0.4545,0.3163
VAL,TP_FIRST,0.5-0.6,41,0.5226,0.1951
VAL,TP_FIRST,0.6-0.7,4,0.6553,0.7500
VAL,SL_FIRST,0.0-0.1,627,0.0590,0.0622
VAL,SL_FIRST,0.1-0.2,930,0.1488,0.1505
VAL,SL_FIRST,0.2-0.3,547,0.2450,0.2249
VAL,SL_FIRST,0.3-0.4,282,0.3453,0.2553
VAL,SL_FIRST,0.4-0.5,357,0.4517,0.4230
VAL,SL_FIRST,0.5-0.6,588,0.5527,0.5578
VAL,SL_FIRST,0.6-0.7,1229,0.6560,0.6550
VAL,SL_FIRST,0.7-0.8,1749,0.7465,0.7187
VAL,SL_FIRST,0.8-0.9,309,0.8280,0.8252
VAL,SL_FIRST,0.9-1.0,2,0.9129,1.0000
CONF,TP_FIRST,0.0-0.1,45,0.0851,0.0444
CONF,TP_FIRST,0.1-0.2,583,0.1579,0.1835
CONF,TP_FIRST,0.2-0.3,605,0.2403,0.2231
CONF,TP_FIRST,0.3-0.4,87,0.3257,0.1839
CONF,TP_FIRST,0.4-0.5,21,0.4506,0.4286
CONF,TP_FIRST,0.5-0.6,5,0.5166,0.4000
CONF,SL_FIRST,0.0-0.1,122,0.0563,0.0574
CONF,SL_FIRST,0.1-0.2,155,0.1486,0.2258
CONF,SL_FIRST,0.2-0.3,132,0.2407,0.0530
CONF,SL_FIRST,0.3-0.4,43,0.3551,0.4651
CONF,SL_FIRST,0.4-0.5,66,0.4518,0.4091
CONF,SL_FIRST,0.5-0.6,86,0.5583,0.6279
CONF,SL_FIRST,0.6-0.7,283,0.6595,0.6678
CONF,SL_FIRST,0.7-0.8,396,0.7434,0.7045
CONF,SL_FIRST,0.8-0.9,62,0.8316,0.7903
CONF,SL_FIRST,0.9-1.0,1,0.9048,1.0000
VAL+CONF,TP_FIRST,0.0-0.1,277,0.0875,0.0903
VAL+CONF,TP_FIRST,0.1-0.2,3741,0.1563,0.1540
VAL+CONF,TP_FIRST,0.2-0.3,3090,0.2394,0.2288
VAL+CONF,TP_FIRST,0.3-0.4,689,0.3314,0.3033
VAL+CONF,TP_FIRST,0.4-0.5,119,0.4538,0.3361
VAL+CONF,TP_FIRST,0.5-0.6,46,0.5220,0.2174
VAL+CONF,TP_FIRST,0.6-0.7,4,0.6553,0.7500
VAL+CONF,SL_FIRST,0.0-0.1,749,0.0586,0.0614
VAL+CONF,SL_FIRST,0.1-0.2,1085,0.1488,0.1613
VAL+CONF,SL_FIRST,0.2-0.3,679,0.2441,0.1915
VAL+CONF,SL_FIRST,0.3-0.4,325,0.3466,0.2831
VAL+CONF,SL_FIRST,0.4-0.5,423,0.4517,0.4208
VAL+CONF,SL_FIRST,0.5-0.6,674,0.5534,0.5668
VAL+CONF,SL_FIRST,0.6-0.7,1512,0.6567,0.6574
VAL+CONF,SL_FIRST,0.7-0.8,2145,0.7459,0.7161
VAL+CONF,SL_FIRST,0.8-0.9,371,0.8286,0.8194
VAL+CONF,SL_FIRST,0.9-1.0,3,0.9102,1.0000
CAL,TP_FIRST,0.0-0.1,152,0.0847,0.0526
CAL,TP_FIRST,0.1-0.2,1353,0.1555,0.1626
CAL,TP_FIRST,0.2-0.3,1152,0.2438,0.2361
CAL,TP_FIRST,0.3-0.4,313,0.3394,0.3482
CAL,TP_FIRST,0.4-0.5,76,0.4622,0.4605
CAL,TP_FIRST,0.5-0.6,22,0.5149,0.4545
CAL,SL_FIRST,0.0-0.1,331,0.0538,0.0393
CAL,SL_FIRST,0.1-0.2,315,0.1457,0.1556
CAL,SL_FIRST,0.2-0.3,175,0.2441,0.2571
CAL,SL_FIRST,0.3-0.4,114,0.3494,0.4649
CAL,SL_FIRST,0.4-0.5,188,0.4558,0.4255
CAL,SL_FIRST,0.5-0.6,413,0.5475,0.5569
CAL,SL_FIRST,0.6-0.7,595,0.6550,0.6336
CAL,SL_FIRST,0.7-0.8,744,0.7416,0.7392
CAL,SL_FIRST,0.8-0.9,189,0.8370,0.8519
CAL,SL_FIRST,0.9-1.0,4,0.9088,1.0000
