band,p_tp_min,p_sl_max,cal_mints,cal_EV,cal_LCB90,cal_PF,cal_TP_rate,cal_SL_rate
20-60,0.3,0.2,0,n/a,n/a,n/a,n/a,n/a
20-60,0.3,0.3,0,n/a,n/a,n/a,n/a,n/a
20-60,0.3,0.4,1,0.2730,0.2730,inf,1.000,0.000
20-60,0.35,0.2,0,n/a,n/a,n/a,n/a,n/a
20-60,0.35,0.3,0,n/a,n/a,n/a,n/a,n/a
20-60,0.35,0.4,0,n/a,n/a,n/a,n/a,n/a
20-60,0.4,0.2,0,n/a,n/a,n/a,n/a,n/a
20-60,0.4,0.3,0,n/a,n/a,n/a,n/a,n/a
20-60,0.4,0.4,0,n/a,n/a,n/a,n/a,n/a
20-60,0.45,0.2,0,n/a,n/a,n/a,n/a,n/a
20-60,0.45,0.3,0,n/a,n/a,n/a,n/a,n/a
20-60,0.45,0.4,0,n/a,n/a,n/a,n/a,n/a
20-70,0.3,0.2,0,n/a,n/a,n/a,n/a,n/a
20-70,0.3,0.3,0,n/a,n/a,n/a,n/a,n/a
20-70,0.3,0.4,1,0.2730,0.2730,inf,1.000,0.000
20-70,0.35,0.2,0,n/a,n/a,n/a,n/a,n/a
20-70,0.35,0.3,0,n/a,n/a,n/a,n/a,n/a
20-70,0.35,0.4,0,n/a,n/a,n/a,n/a,n/a
20-70,0.4,0.2,0,n/a,n/a,n/a,n/a,n/a
20-70,0.4,0.3,0,n/a,n/a,n/a,n/a,n/a
20-70,0.4,0.4,0,n/a,n/a,n/a,n/a,n/a
20-70,0.45,0.2,0,n/a,n/a,n/a,n/a,n/a
20-70,0.45,0.3,0,n/a,n/a,n/a,n/a,n/a
20-70,0.45,0.4,0,n/a,n/a,n/a,n/a,n/a
30-70,0.3,0.2,0,n/a,n/a,n/a,n/a,n/a
30-70,0.3,0.3,0,n/a,n/a,n/a,n/a,n/a
30-70,0.3,0.4,1,0.2730,0.2730,inf,1.000,0.000
30-70,0.35,0.2,0,n/a,n/a,n/a,n/a,n/a
30-70,0.35,0.3,0,n/a,n/a,n/a,n/a,n/a
30-70,0.35,0.4,0,n/a,n/a,n/a,n/a,n/a
30-70,0.4,0.2,0,n/a,n/a,n/a,n/a,n/a
30-70,0.4,0.3,0,n/a,n/a,n/a,n/a,n/a
30-70,0.4,0.4,0,n/a,n/a,n/a,n/a,n/a
30-70,0.45,0.2,0,n/a,n/a,n/a,n/a,n/a
30-70,0.45,0.3,0,n/a,n/a,n/a,n/a,n/a
30-70,0.45,0.4,0,n/a,n/a,n/a,n/a,n/a
30-80,0.3,0.2,0,n/a,n/a,n/a,n/a,n/a
30-80,0.3,0.3,0,n/a,n/a,n/a,n/a,n/a
30-80,0.3,0.4,1,0.2730,0.2730,inf,1.000,0.000
30-80,0.35,0.2,0,n/a,n/a,n/a,n/a,n/a
30-80,0.35,0.3,0,n/a,n/a,n/a,n/a,n/a
30-80,0.35,0.4,0,n/a,n/a,n/a,n/a,n/a
30-80,0.4,0.2,0,n/a,n/a,n/a,n/a,n/a
30-80,0.4,0.3,0,n/a,n/a,n/a,n/a,n/a
30-80,0.4,0.4,0,n/a,n/a,n/a,n/a,n/a
30-80,0.45,0.2,0,n/a,n/a,n/a,n/a,n/a
30-80,0.45,0.3,0,n/a,n/a,n/a,n/a,n/a
30-80,0.45,0.4,0,n/a,n/a,n/a,n/a,n/a
