segment,class,bin,n,pred,obs
CAL,TP_FIRST,0.0-0.1,1,0.0895,0.0000
CAL,TP_FIRST,0.1-0.2,102,0.1623,0.1569
CAL,TP_FIRST,0.2-0.3,98,0.2438,0.2653
CAL,TP_FIRST,0.3-0.4,12,0.3426,0.2500
CAL,TP_FIRST,0.4-0.5,1,0.4040,0.0000
CAL,SL_FIRST,0.1-0.2,1,0.1178,0.0000
CAL,SL_FIRST,0.3-0.4,3,0.3839,0.3333
CAL,SL_FIRST,0.4-0.5,4,0.4757,0.7500
CAL,SL_FIRST,0.5-0.6,19,0.5654,0.5263
CAL,SL_FIRST,0.6-0.7,53,0.6651,0.6604
CAL,SL_FIRST,0.7-0.8,104,0.7487,0.7404
CAL,SL_FIRST,0.8-0.9,30,0.8270,0.8667
VAL,TP_FIRST,0.0-0.1,6,0.0839,0.5000
VAL,TP_FIRST,0.1-0.2,192,0.1622,0.2240
VAL,TP_FIRST,0.2-0.3,139,0.2390,0.2950
VAL,TP_FIRST,0.3-0.4,24,0.3275,0.3333
VAL,TP_FIRST,0.4-0.5,2,0.4487,0.5000
VAL,TP_FIRST,0.5-0.6,1,0.5303,1.0000
VAL,TP_FIRST,0.6-0.7,1,0.6395,1.0000
CONF,TP_FIRST,0.0-0.1,1,0.0931,1.0000
CONF,TP_FIRST,0.1-0.2,45,0.1679,0.0667
CONF,TP_FIRST,0.2-0.3,43,0.2372,0.2093
CONF,TP_FIRST,0.3-0.4,4,0.3136,0.5000
CONF,TP_FIRST,0.4-0.5,1,0.4664,0.0000
VAL+CONF,TP_FIRST,0.0-0.1,7,0.0852,0.5714
VAL+CONF,TP_FIRST,0.1-0.2,237,0.1632,0.1941
VAL+CONF,TP_FIRST,0.2-0.3,182,0.2386,0.2747
VAL+CONF,TP_FIRST,0.3-0.4,28,0.3255,0.3571
VAL+CONF,TP_FIRST,0.4-0.5,3,0.4546,0.3333
VAL+CONF,TP_FIRST,0.5-0.6,1,0.5303,1.0000
VAL+CONF,TP_FIRST,0.6-0.7,1,0.6395,1.0000
