V3_RECLAIM | NO_VERIFIED_EDGE | model A | policy {'p_tp_min': 0.25} | model_hash 5fc8dfc4486afbdb..
SIGNAL | MINT=cf6034b2150012dd | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.41 | P_TP_FIRST=0.252 | P_SL_FIRST=0.734 | P_TIMEOUT=0.014 | EXPECTED_NET_SOL=+0.0380 | EXPECTED_NET_LCB90=+0.0019 | PREDICTION_UNCERTAINTY=0.066 | TOP_POSITIVE_DRIVERS=creator_sell_share,buy_vol_pre,n_trades_total | TOP_RISK_DRIVERS=creator_sold_flag,recovery_speed,time_since_anchor_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0509 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=5bbaff6214d649a2 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.45 | P_TP_FIRST=0.252 | P_SL_FIRST=0.668 | P_TIMEOUT=0.080 | EXPECTED_NET_SOL=+0.0398 | EXPECTED_NET_LCB90=+0.0037 | PREDICTION_UNCERTAINTY=0.066 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,time_since_anchor_s | TOP_RISK_DRIVERS=n_trades_total,pullback_duration_s,new_buyers_post | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0967 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=18c34cdfa6071607 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.41 | P_TP_FIRST=0.275 | P_SL_FIRST=0.436 | P_TIMEOUT=0.289 | EXPECTED_NET_SOL=+0.0259 | EXPECTED_NET_LCB90=-0.0102 | PREDICTION_UNCERTAINTY=0.068 | TOP_POSITIVE_DRIVERS=creator_sell_share,pullback_trades,pullback_slots | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,buy_vol_pre | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.2731 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=c2892fbf82f80a7a | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.33 | P_TP_FIRST=0.276 | P_SL_FIRST=0.575 | P_TIMEOUT=0.149 | EXPECTED_NET_SOL=+0.0130 | EXPECTED_NET_LCB90=-0.0160 | PREDICTION_UNCERTAINTY=0.068 | TOP_POSITIVE_DRIVERS=pullback_duration_s,time_since_anchor_s,same_slot_share | TOP_RISK_DRIVERS=pullback_slots,progress,pullback_trades | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0888 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=9204d5ca506d26b7 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.39 | P_TP_FIRST=0.381 | P_SL_FIRST=0.355 | P_TIMEOUT=0.264 | EXPECTED_NET_SOL=+0.0405 | EXPECTED_NET_LCB90=+0.0044 | PREDICTION_UNCERTAINTY=0.074 | TOP_POSITIVE_DRIVERS=pullback_duration_s,buy_vol_pre,creator_sell_share | TOP_RISK_DRIVERS=pullback_slots,creator_sold_flag,new_buyers_post | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.2540 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=f05ee28d0c4ac410 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.46 | P_TP_FIRST=0.256 | P_SL_FIRST=0.704 | P_TIMEOUT=0.040 | EXPECTED_NET_SOL=+0.0390 | EXPECTED_NET_LCB90=+0.0029 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=pullback_duration_s,buy_vol_pre,same_slot_share | TOP_RISK_DRIVERS=pullback_trades,pullback_slots,creator_sell_share | OUTCOME=TP_FIRST (CURVE_ONLY) | PNL=+0.2518 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=b90f3e241dd2b9a4 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.60 | P_TP_FIRST=0.311 | P_SL_FIRST=0.592 | P_TIMEOUT=0.097 | EXPECTED_NET_SOL=+0.0381 | EXPECTED_NET_LCB90=+0.0020 | PREDICTION_UNCERTAINTY=0.071 | TOP_POSITIVE_DRIVERS=creator_sell_share,progress,sell_vol_pre | TOP_RISK_DRIVERS=creator_sold_flag,imbalance_window,rs_sol | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.2600 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=e95d3ce082a75197 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.70 | P_TP_FIRST=0.302 | P_SL_FIRST=0.617 | P_TIMEOUT=0.081 | EXPECTED_NET_SOL=+0.0070 | EXPECTED_NET_LCB90=-0.0220 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,headroom_025 | TOP_RISK_DRIVERS=dist_to_migration_sol,creator_sold_flag,rs_sol | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.2158 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=d0d442b8cd3bc6b3 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.60 | P_TP_FIRST=0.334 | P_SL_FIRST=0.583 | P_TIMEOUT=0.084 | EXPECTED_NET_SOL=+0.0611 | EXPECTED_NET_LCB90=+0.0250 | PREDICTION_UNCERTAINTY=0.072 | TOP_POSITIVE_DRIVERS=creator_sell_share,progress,sell_vol_pre | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,rs_sol | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.3658 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=6e12001a2cdf1b9c | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.81 | P_TP_FIRST=0.264 | P_SL_FIRST=0.671 | P_TIMEOUT=0.065 | EXPECTED_NET_SOL=+0.0194 | EXPECTED_NET_LCB90=-0.0095 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=progress,headroom_025,creator_sell_share | TOP_RISK_DRIVERS=dist_to_migration_sol,rs_sol,creator_sold_flag | OUTCOME=SL_FIRST (CROSS_MIGRATION) | PNL=-0.1932 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=1022330f75f3bd41 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.39 | P_TP_FIRST=0.303 | P_SL_FIRST=0.668 | P_TIMEOUT=0.029 | EXPECTED_NET_SOL=+0.0021 | EXPECTED_NET_LCB90=-0.0268 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=pullback_trades,top10_share,uniq_buyers | TOP_RISK_DRIVERS=new_buyers_post,time_since_anchor_s,pullback_duration_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0980 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=c3a54b564aabc060 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.44 | P_TP_FIRST=0.291 | P_SL_FIRST=0.678 | P_TIMEOUT=0.030 | EXPECTED_NET_SOL=+0.0658 | EXPECTED_NET_LCB90=+0.0298 | PREDICTION_UNCERTAINTY=0.069 | TOP_POSITIVE_DRIVERS=pullback_trades,n_trades_total,pullback_slots | TOP_RISK_DRIVERS=new_buyers_post,time_since_anchor_s,recovery_speed | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.2913 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=821631895b0afc5d | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.40 | P_TP_FIRST=0.301 | P_SL_FIRST=0.664 | P_TIMEOUT=0.036 | EXPECTED_NET_SOL=+0.0413 | EXPECTED_NET_LCB90=+0.0052 | PREDICTION_UNCERTAINTY=0.070 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,top10_share | TOP_RISK_DRIVERS=pullback_duration_s,buy_vol_pre,time_since_anchor_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0994 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=33279d29ea5e2561 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.03 | P_TP_FIRST=0.349 | P_SL_FIRST=0.393 | P_TIMEOUT=0.259 | EXPECTED_NET_SOL=+0.0078 | EXPECTED_NET_LCB90=-0.0211 | PREDICTION_UNCERTAINTY=0.073 | TOP_POSITIVE_DRIVERS=rs_sol,dist_to_migration_sol,buyer_retention | TOP_RISK_DRIVERS=progress,headroom_025,new_buyers_post | OUTCOME=TIMEOUT_OTHER (CURVE_ONLY) | PNL=-0.0870 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=b2804ae9be36434d | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.72 | P_TP_FIRST=0.257 | P_SL_FIRST=0.694 | P_TIMEOUT=0.049 | EXPECTED_NET_SOL=+0.0111 | EXPECTED_NET_LCB90=-0.0178 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,pullback_trades | TOP_RISK_DRIVERS=dist_to_migration_sol,rs_sol,creator_sold_flag | OUTCOME=SL_FIRST (CROSS_MIGRATION) | PNL=-0.1626 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=36c2697373718284 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.46 | P_TP_FIRST=0.260 | P_SL_FIRST=0.707 | P_TIMEOUT=0.033 | EXPECTED_NET_SOL=+0.0573 | EXPECTED_NET_LCB90=+0.0212 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=creator_sell_share,uniq_buyers,pullback_trades | TOP_RISK_DRIVERS=new_buyers_post,creator_sold_flag,time_since_anchor_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.1908 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=7495cc3396152e42 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.60 | P_TP_FIRST=0.344 | P_SL_FIRST=0.565 | P_TIMEOUT=0.091 | EXPECTED_NET_SOL=+0.0394 | EXPECTED_NET_LCB90=+0.0033 | PREDICTION_UNCERTAINTY=0.072 | TOP_POSITIVE_DRIVERS=creator_sell_share,progress,pullback_trades | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,rs_sol | OUTCOME=TP_FIRST (CROSS_MIGRATION) | PNL=+0.2537 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=356e4da70dc132a1 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.44 | P_TP_FIRST=0.275 | P_SL_FIRST=0.667 | P_TIMEOUT=0.058 | EXPECTED_NET_SOL=+0.0132 | EXPECTED_NET_LCB90=-0.0157 | PREDICTION_UNCERTAINTY=0.068 | TOP_POSITIVE_DRIVERS=pullback_trades,pullback_slots,reclaim_slots | TOP_RISK_DRIVERS=time_since_anchor_s,recovery_speed,pullback_duration_s | OUTCOME=TP_FIRST (CURVE_ONLY) | PNL=+0.2039 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=315668cd3ec6f724 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.49 | P_TP_FIRST=0.262 | P_SL_FIRST=0.730 | P_TIMEOUT=0.008 | EXPECTED_NET_SOL=+0.0119 | EXPECTED_NET_LCB90=-0.0170 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=buy_vol_pre,reclaim_slots,n_trades_total | TOP_RISK_DRIVERS=pullback_trades,sell_vol_pre,time_since_anchor_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.1142 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=4e2d6fac89683043 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.67 | P_TP_FIRST=0.259 | P_SL_FIRST=0.664 | P_TIMEOUT=0.077 | EXPECTED_NET_SOL=+0.0031 | EXPECTED_NET_LCB90=-0.0258 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,headroom_025 | TOP_RISK_DRIVERS=dist_to_migration_sol,creator_sold_flag,rs_sol | OUTCOME=TP_FIRST (CROSS_MIGRATION) | PNL=+0.2440 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=b103486e8ab4c2f2 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.59 | P_TP_FIRST=0.381 | P_SL_FIRST=0.580 | P_TIMEOUT=0.039 | EXPECTED_NET_SOL=+0.0692 | EXPECTED_NET_LCB90=+0.0331 | PREDICTION_UNCERTAINTY=0.074 | TOP_POSITIVE_DRIVERS=creator_sell_share,progress,pullback_trades | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,buyer_retention | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0949 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=3d09541e84c54c95 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.45 | P_TP_FIRST=0.256 | P_SL_FIRST=0.621 | P_TIMEOUT=0.122 | EXPECTED_NET_SOL=+0.0131 | EXPECTED_NET_LCB90=-0.0158 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=pullback_trades,sell_vol_pre,pullback_slots | TOP_RISK_DRIVERS=buy_vol_pre,creator_sell_share,reclaim_slots | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.1127 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=4e62761f6ff8241c | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.40 | P_TP_FIRST=0.277 | P_SL_FIRST=0.644 | P_TIMEOUT=0.079 | EXPECTED_NET_SOL=+0.0212 | EXPECTED_NET_LCB90=-0.0077 | PREDICTION_UNCERTAINTY=0.068 | TOP_POSITIVE_DRIVERS=creator_sell_share,pullback_slots,n_trades_total | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,buy_vol_pre | OUTCOME=TP_FIRST (CURVE_RESOLVED_BEFORE_MIGRATION) | PNL=+0.3385 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=05a27cbcd7d6a57d | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.47 | P_TP_FIRST=0.343 | P_SL_FIRST=0.614 | P_TIMEOUT=0.043 | EXPECTED_NET_SOL=+0.0177 | EXPECTED_NET_LCB90=-0.0113 | PREDICTION_UNCERTAINTY=0.072 | TOP_POSITIVE_DRIVERS=n_trades_total,creator_sell_share,uniq_buyers | TOP_RISK_DRIVERS=creator_sold_flag,seller_inventory_decline,time_since_anchor_s | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.0803 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=21b088cc61734698 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.40 | P_TP_FIRST=0.262 | P_SL_FIRST=0.694 | P_TIMEOUT=0.043 | EXPECTED_NET_SOL=+0.0095 | EXPECTED_NET_LCB90=-0.0195 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=buy_vol_pre,pullback_duration_s,new_buyers_post | TOP_RISK_DRIVERS=pullback_slots,pullback_trades,sell_vol_pre | OUTCOME=TP_FIRST (CURVE_ONLY) | PNL=+0.2485 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=cbf184f322d4b5fb | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.60 | P_TP_FIRST=0.259 | P_SL_FIRST=0.664 | P_TIMEOUT=0.076 | EXPECTED_NET_SOL=+0.0057 | EXPECTED_NET_LCB90=-0.0232 | PREDICTION_UNCERTAINTY=0.067 | TOP_POSITIVE_DRIVERS=creator_sell_share,progress,headroom_025 | TOP_RISK_DRIVERS=creator_sold_flag,pullback_duration_s,rs_sol | OUTCOME=SL_FIRST (CURVE_ONLY) | PNL=-0.2160 | ACTION=WATCH (policy_enabled=false)
SIGNAL | MINT=a2c1b31ebae86b43 | SEG=VAL | DAY=2026-09-03 | PROGRESS=0.68 | P_TP_FIRST=0.354 | P_SL_FIRST=0.538 | P_TIMEOUT=0.108 | EXPECTED_NET_SOL=+0.0357 | EXPECTED_NET_LCB90=-0.0003 | PREDICTION_UNCERTAINTY=0.073 | TOP_POSITIVE_DRIVERS=progress,creator_sell_share,pullback_trades | TOP_RISK_DRIVERS=dist_to_migration_sol,creator_sold_flag,rs_sol | OUTCOME=SL_FIRST (CROSS_MIGRATION) | PNL=-0.1751 | ACTION=WATCH (policy_enabled=false)
