FILE,COLUMN,TYPE,UNIT,FORMULA,SOURCE,EARLIEST_AVAILABILITY,POINT_IN_TIME_FEATURE_OR_OUTCOME,MISSING_VALUE_MEANING,KNOWN_LIMITATION
pool_master.csv.gz,pool_id,string(hex32),-,sha256('external-review-v1:'+pool_address)[:32],CreatePoolEvent / pool tape,la crearea pool-ului,KEY,-,hash unidirectional; nu se poate inversa
pool_master.csv.gz,mint_id,string(hex32),-,sha256('external-review-v1:'+mint)[:32],CreateEvent/CompleteEvent,la creare,KEY,-,idem
pool_master.csv.gz,source,string,-,SEP01_HIST24_VAULT_BALANCES | PROSPECTIVE_TAPE_EVENTS,colector,-,META,-,"SEP01: solduri vault, fara portofele"
pool_master.csv.gz,date_utc,date,UTC,zi UTC a CompleteEvent,CompleteEvent.ts,-,META,-,-
pool_master.csv.gz,hour_utc,string,UTC,ora UTC a CompleteEvent,-,-,META,-,-
pool_master.csv.gz,complete_ts,int,s epoch,ts on-chain al tranzactiei care completeaza curba,CompleteEvent (ts al TradeEvent din aceeasi tx; SEP01 blockTime),la completare,META/PIT,-,rezolutie 1 s
pool_master.csv.gz,complete_slot,int,slot,slotul CompleteEvent,-,-,META,-,-
pool_master.csv.gz,pool_creation_ts,int,s epoch,ts on-chain CreatePoolEvent (SEP01: blockTime al primei stari),CreatePoolEvent,la creare,META/PIT,-,-
pool_master.csv.gz,pool_creation_slot,int,slot,-,-,-,META,,SEP01: slot prima stare
pool_master.csv.gz,eligible,int 0/1,-,1 daca pool-ul intra in populatia regimului,regime_cache_build.py,-,META,-,-
pool_master.csv.gz,exclusion_reason,string,-,motivul excluderii (gol = eligibil),regime_exclusions_pass.py,-,META,gol=eligibil,motivele care cer trecerea 2 sunt agregate
pool_master.csv.gz,schema_variant,string,-,HIST24_VAULT_BALANCES_TXINDEX | PROSPECTIVE_EVENTS_NO_TXINDEX,-,-,META,-,fara txIndex => ordine intra-slot = sosire
pool_master.csv.gz,boost_classification,string,-,BOOST_PROXY_17_58 daca starea initiala = 206.9M tokeni + ~85 SOL total (67.41 real + 17.58 virtual),-,-,META,-,-
pool_master.csv.gz,vq_lamports,int,lamports,rezerva virtuala de quote implicita (mediana din formula CP pe primele 60 evenimente),evenimente,-,META,-,±0.3 SOL
pool_master.csv.gz,ordering_quality,string,-,EXACT_SLOT_TXINDEX | SLOT_ARRIVAL_NO_TXINDEX,-,-,META,-,-
pool_master.csv.gz,fee_mode,string,-,OBSERVED_EVENT_BPS | TIER_TABLE,-,-,META,-,SEP01 foloseste tabelul de tiere (pumpswap_fees.py)
pool_master.csv.gz,coverage_s_after_creation,float,s,ts ultimului eveniment - pool_creation_ts (max 420),-,-,META,-,-
pool_master.csv.gz,gap_flag,int,-,1 daca intervalul necesar intersecteaza o deconectare WSS,collector.log,-,META,-,-
pool_master.csv.gz,corruption_flag,int,-,1 daca intersecteaza o coada de fisier corupta,-,-,META,-,-
pool_master.csv.gz,first_executable_ts,int,s epoch,complete_ts + 5 s observare + 2 s latenta,spec,-,META,-,-
pool_master.csv.gz,initial_rb,int,tokeni bruti (6 zecimale),rezerva de baza inainte de primul eveniment,-,-,META,-,-
pool_master.csv.gz,initial_rq,int,lamports,rezerva reala de quote inainte de primul eveniment,-,-,META,-,-
pool_master.csv.gz,n_events_420s,int,-,evenimente Buy/Sell (SEP01: stari) pana la T0+420 s,-,-,META,-,-
