ts,stage,lane,horizon,config,partition,N,EV,PF,median,p_raw,note
14:04:24,S1_screen,M,5,tercile screen x11 familii,DEV,378,,,,,descriptiv; 11 celule
14:04:25,S1_screen,M,10,tercile screen x11 familii,DEV,378,,,,,descriptiv; 11 celule
14:04:26,S1_screen,M,20,tercile screen x11 familii,DEV,378,,,,,descriptiv; 11 celule
14:04:26,S1_screen,M,30,tercile screen x11 familii,DEV,378,,,,,descriptiv; 11 celule
14:04:27,S2_model,M,5,"L2-logistic 31 trasaturi, prag top-20 % DEV",VAL,66,0.3547909909090912,1.0616860750731547,-3.5842266499999984,0.5732393179307982,CV PR-AUC 0.253 vs 0.090
14:04:27,S2_model,M,10,"L2-logistic 31 trasaturi, prag top-20 % DEV",VAL,65,-1.3484409230769228,0.7507445435451514,-2.2837569999999983,0.5906915113526869,CV PR-AUC 0.144 vs 0.077
14:04:27,S2_model,M,20,"L2-logistic 31 trasaturi, prag top-20 % DEV",VAL,52,-1.611022725,0.7335236424360267,-7.562343599999998,0.5252951361163025,CV PR-AUC 0.175 vs 0.082
14:04:28,S2_model,M,30,"L2-logistic 31 trasaturi, prag top-20 % DEV",VAL,61,0.4011568639344261,1.087786583831081,-2.519138900000002,0.052379095963833944,CV PR-AUC 0.190 vs 0.082
14:04:28,S3_rule,M,5,h=5s: size_top1_share <= 0.2945 (tercila lo fixata pe DEV),VAL,86,0.4696984534883727,1.0869350028767835,-6.5152602,0.23001072182150484,DEV EV 1.8955876763779531
14:04:28,S3_rule,M,10,h=10s: size_top1_share <= 0.2781 (tercila lo fixata pe DEV),VAL,90,-0.5290451533333328,0.9074008341134754,-7.576656849999999,0.966744250348003,DEV EV 1.037494018897638
14:04:28,S3_rule,M,20,h=20s: size_top1_share <= 0.225 (tercila lo fixata pe DEV),VAL,90,-0.9532942444444441,0.8276494157506012,-7.583123899999999,0.8737221985773034,DEV EV 0.894142681889764
14:04:28,S3_rule,M,30,h=30s: size_top1_share <= 0.2197 (tercila lo fixata pe DEV),VAL,88,-1.8712882613636361,0.6705977553313698,-7.61968815,0.301589337893281,DEV EV 0.980724903937008
14:04:33,S4_candidate_AUDIT,M,5,h=5s: size_top1_share <= 0.2945 (tercila lo fixata pe DEV),AUDIT,104,1.216352216346154,1.231381037453278,-7.567394649999999,0.47766518569596084,regula cu EV>0 pe DEV si VAL (cel mai mare EV VAL)
14:04:33,S5_secondary_policy,M,5,h=5s: size_top1_share <= 0.2945 (tercila lo fixata pe DEV) | TP50_SL20,VAL+AUDIT,190,0.7667781036842111,1.1856263813904038,-5.156560299999999,,
14:04:33,S5_secondary_policy,M,5,h=5s: size_top1_share <= 0.2945 (tercila lo fixata pe DEV) | FIX60,VAL+AUDIT,190,0.033151598947368806,1.0097796371137824,0.7767452999999978,,
14:04:34,S5_secondary_policy,M,5,h=5s: size_top1_share <= 0.2945 (tercila lo fixata pe DEV) | FIX180,VAL+AUDIT,190,-0.4091142031578943,0.9287484992887797,-0.5710288500000016,,
