block_start_utc,decision_ts,date_utc,n_window_entries,n_unresolved_excluded,gate_N,gate_trimmed_mean,gate_PF,gate_median,gate_ex_best_1_EV,gate_EV_first30,gate_EV_second30,REGIME_ON,migrations_available_in_block,selected_pool_id,skip_reason,no_future_fields_in_decision,OUTCOME_strategy_pnl_usd,OUTCOME_strategy_exit_kind
2026-09-01 00:00,1788220800,2026-09-01,0,0,0,,,,,,,0,6,,,YES,,
2026-09-01 00:15,1788221700,2026-09-01,6,0,6,-7.949808633333333,0.04860484874473471,-8.900078950000001,-9.95562196,,-7.949808633333333,0,6,,,YES,,
2026-09-01 00:30,1788222600,2026-09-01,12,0,12,-5.510893179999999,0.06829537506405708,-8.52811585,-6.951651063636363,,-6.199075308333334,0,5,,,YES,,
2026-09-01 00:45,1788223500,2026-09-01,17,0,17,-5.940444653333333,0.2856657918830267,-8.1218848,-6.90411873125,-7.949808633333333,-3.1914414000000004,0,8,,,YES,,
2026-09-01 01:00,1788224400,2026-09-01,25,3,22,-5.682067844444444,0.41593217371352603,-7.800311300000001,-5.272137314285714,-6.199075308333334,-0.8664787399999996,0,9,,,YES,,
2026-09-01 01:15,1788225300,2026-09-01,28,2,26,-4.042779590909091,0.5145772229453296,-3.571298200000001,-3.513928896,-3.1914414000000004,-1.6720783000000001,0,4,,,YES,,
2026-09-01 01:30,1788226200,2026-09-01,26,2,24,-3.41090293,0.6433930703567945,-3.571298200000001,-2.9184839130434783,-0.37540293076923076,-3.143972672727273,0,4,,,YES,,
2026-09-01 01:45,1788227100,2026-09-01,25,1,24,-1.9515119900000002,0.6365050249691717,0.5178898999999997,-2.266442934782609,-1.9290225764705884,0.8115485428571427,0,3,,,YES,,
2026-09-01 02:00,1788228000,2026-09-01,20,1,19,-1.4611127647058826,0.8003082049023779,0.4054527999999986,-2.037086438888889,-2.4716960692307697,3.486851233333333,0,9,,,YES,,
2026-09-01 02:15,1788228900,2026-09-01,20,1,19,0.26489641764705835,1.3516680670042511,0.8380258999999977,-0.3931124000000004,0.9367634499999996,1.0154264818181808,0,10,,,YES,,
2026-09-01 02:30,1788229800,2026-09-01,26,2,24,-2.2211258549999995,0.8147582990999064,0.6204349500000013,-1.743393604347826,3.117336242857142,-2.1282108529411765,0,8,,,YES,,
2026-09-01 02:45,1788230700,2026-09-01,30,1,29,-3.4058564479999998,0.5271027909225278,0.4395296000000033,-3.0953197392857144,0.9869351916666655,-4.28072664117647,0,7,,,YES,,
2026-09-01 03:00,1788231600,2026-09-01,34,3,31,-3.9367519079999997,0.32714981400204474,-1.2543526000000011,-4.1715783066666665,-2.640517305263158,-4.103141525000001,0,5,,,YES,,
2026-09-01 03:15,1788232500,2026-09-01,30,1,29,-4.1999215119999995,0.15606946157690946,-4.3005293999999985,-4.611962057142856,-4.462393738888888,-3.8904678454545447,0,7,,,YES,,
2026-09-01 03:30,1788233400,2026-09-01,27,2,25,-3.6047750952380944,0.3837385717712247,-2.898631300000002,-4.073899399999999,-3.257365886666667,-2.375878889999999,0,6,,,YES,,
2026-09-01 03:45,1788234300,2026-09-01,25,1,24,-2.9134666399999998,0.4040119978289875,-1.1940908999999995,-3.7383458826086953,-3.544684616666666,-1.5242859583333335,0,8,,,YES,,
2026-09-01 04:00,1788235200,2026-09-01,26,1,25,-2.761478795238095,0.5777776766217054,0.19460850000000066,-3.142994895833333,-2.163180433333333,-1.8589666384615386,0,10,,,YES,,
2026-09-01 04:15,1788236100,2026-09-01,31,3,28,-2.5400246416666667,0.5860393888619048,0.20012450000000073,-2.903756081481481,-2.007264223076923,-1.7999888866666665,0,4,,,YES,,
